id,first_name,last_name,State,Product,NRx_Month_1,NRx_Month_2,NRx_Month_3,NRx_Month_4,NRx_Month_5,NRx_Month_6,TRx_Month_1,TRx_Month_2,TRx_Month_3,TRx_Month_4,TRx_Month_5,TRx_Month_6
1,Bren,Clarridge,Virginia,Cholecap,11,9,9,14,16,8,104,126,20,9,11,119
2,Catharine,Latty,West Virginia,Cholecap,0,1,2,15,0,10,177,184,70,94,123,155
3,Charity,Wernher,Utah,Cholecap,3,10,15,15,2,17,183,35,182,166,32,20
4,Trevar,Orrocks,California,Cholecap,20,8,4,16,10,15,30,24,61,125,10,191
5,Marie-ann,Degoy,California,Cholecap,11,14,0,13,16,5,153,157,27,118,101,193
6,Reggie,Scoggan,California,Cholecap,13,20,11,0,13,8,129,137,99,15,123,32
7,Camala,Dosdale,Pennsylvania,Cholecap,18,9,15,20,1,14,165,146,111,36,52,49
8,Abran,Tonnesen,Idaho,Cholecap,18,13,9,13,2,14,197,15,113,128,19,128
9,Kelly,Toolan,Washington,Cholecap,8,12,13,1,3,8,73,69,192,122,22,174
10,Eada,Ingman,Florida,Cholecap,4,16,8,1,0,7,0,159,136,46,156,58
11,Nari,Sallings,Alabama,Cholecap,18,19,19,16,9,19,178,147,145,35,53,9
12,Marrissa,Rawsen,California,Cholecap,0,11,16,10,2,15,34,5,120,161,43,163
13,Gabby,Trevino,Texas,Cholecap,2,17,2,13,15,8,102,162,99,200,129,120
14,Jyoti,Pevie,California,Cholecap,13,10,3,14,5,20,156,75,48,82,66,52
15,Sonni,Gogan,Alabama,Cholecap,7,11,9,1,1,4,176,3,52,125,141,196
16,Adrea,Stockall,New York,Cholecap,16,8,2,17,4,2,2,65,160,145,13,191
17,Liliane,Raff,South Carolina,Cholecap,9,13,14,19,16,3,168,140,117,194,167,185
18,Tommie,Siemantel,Arkansas,Cholecap,19,11,18,11,11,19,186,54,76,31,54,0
19,George,Perrett,Ohio,Cholecap,20,0,11,1,7,19,45,14,125,94,27,4
20,Tomasine,Birdall,Kansas,Cholecap,16,1,18,13,20,12,59,195,86,86,103,48
21,Annalise,Dugood,Ohio,Cholecap,7,12,7,3,1,8,180,159,188,31,176,108
22,Harlan,Rodson,Washington,Cholecap,10,7,6,19,7,4,0,78,167,109,63,51
23,Richmound,Willshire,District of Columbia,Cholecap,5,1,1,12,11,14,168,177,86,98,122,51
24,Reynold,Blaszczyk,Texas,Cholecap,7,16,3,7,3,1,0,51,164,154,99,165
25,Craggy,Reaveley,Texas,Cholecap,7,12,12,18,7,5,31,186,149,114,140,183
26,Lotti,O'Shee,District of Columbia,Cholecap,4,2,2,20,15,2,166,191,8,5,29,42
27,Marv,Brennand,Ohio,Cholecap,19,11,3,20,12,13,156,55,197,91,54,107
28,Ignace,Kitchener,New York,Cholecap,14,12,14,1,4,4,48,168,117,45,186,114
29,Xever,Percival,Illinois,Cholecap,17,12,16,0,8,3,44,62,35,139,168,179
30,Aryn,Durdle,Colorado,Cholecap,7,5,11,6,18,9,94,43,147,75,44,188
31,Lauree,Fomichkin,Colorado,Cholecap,13,18,12,3,7,8,37,83,26,184,80,62
32,Grazia,Wrightam,California,Cholecap,4,11,20,19,7,11,196,112,77,93,65,56
33,Clarissa,Sadat,Mississippi,Cholecap,13,20,14,11,2,0,82,2,44,47,28,126
34,Ashlen,Paolazzi,Virginia,Cholecap,8,4,11,17,12,19,69,121,125,107,184,144
35,Elsie,Strangeway,Texas,Cholecap,17,17,7,12,2,13,138,138,50,51,119,29
36,Claudianus,Cabbell,Ohio,Cholecap,8,14,16,4,1,15,192,129,158,141,176,127
